FoodID,YieldID,YieldAmount,YieldDateofEntry
677,686,359.34698,1997-05-01
678,686,186.287,1997-05-01
679,686,109.127,1997-05-01
680,686,446.42899,1997-05-01
681,686,376.98401,1997-05-01
682,686,229.27699,1997-05-01
683,686,327.38101,1997-05-01
684,686,276.67499,1997-05-01
685,686,166.446,1997-05-01
688,686,313.85001,2010-03-18
689,686,228.67999,2010-03-22
689,502455,50.66,2010-03-22
690,686,282.69,2010-03-18
691,686,208.48,2010-03-23
691,502455,44.75,2010-03-23
691,1644,73.07,2010-03-23
692,686,30.13,2010-03-23
693,686,19.45,2010-03-23
693,681,100.0,2011-05-10
694,470,2.44,1997-05-01
694,686,17.637,1997-05-01
695,686,11.022,1998-07-23
696,686,7.716,1997-05-01
697,683,59.965,2006-11-01
699,683,45.855,2006-11-01
700,686,7.716,1997-05-01
701,683,74.074,2006-11-01
702,686,13.228,1997-05-01
703,686,11.023,1997-05-01
703,1642,49.383,2006-11-01
704,686,192.16,2010-03-18
705,686,141.57001,2010-03-23
705,502455,53.81,2010-03-23
706,686,188.75,2010-03-19
707,686,87.1,2010-03-23
707,502455,45.25,2010-03-23
708,686,173.84,2010-03-18
709,686,129.08,2010-03-23
709,502455,47.76,2010-03-23
709,1644,73.63,2010-03-23
710,686,106.27,2010-03-19
711,686,79.4,2010-03-23
711,502455,39.63,2010-03-23
711,1644,71.61,2010-03-23
712,686,17.82,2010-03-19
713,686,14.39,2010-03-23
713,502455,28.8,2010-03-23
714,686,157.2,2010-03-19
715,686,117.01,2010-03-23
715,502455,57.29,2010-03-23
716,686,106.67,2010-03-19
717,686,72.72,2010-03-23
717,502455,48.66,2010-03-23
718,686,34.97,2010-03-19
719,686,24.57,2010-03-23
719,502455,37.23,2010-03-23
722,686,325.06,2010-03-05
723,686,233.35001,2010-03-05
723,502455,49.81,2010-03-05
724,686,289.67001,2010-03-05
725,686,211.8,2010-03-05
725,1644,73.65,2010-03-05
725,502455,45.86,2010-03-05
728,686,194.47,2010-03-05
729,686,144.07001,2010-03-05
729,502455,53.5,2010-03-05
730,686,130.59,2010-03-05
731,686,89.28,2010-03-05
731,502455,43.45,2010-03-05
732,686,173.42,2010-03-05
733,686,131.0,2010-03-05
733,1644,75.56,2010-03-05
733,502455,53.5,2010-03-05
734,686,116.25,2010-03-05
735,686,80.79,2010-03-05
735,1644,71.25,2010-03-05
735,502455,40.08,2010-03-05
740,686,156.25,2010-03-05
741,686,117.87,2010-03-16
741,502455,57.58,2010-03-16
742,686,145.0,2010-02-16
743,686,110.25,2010-03-16
743,1644,76.14,2010-03-16
743,502455,53.85,2010-03-16
744,686,111.33,2010-03-05
745,686,74.46,2010-03-16
745,1642,49.81,2010-03-16
746,686,101.09,2010-03-05
747,686,67.9,2010-03-16
747,1644,67.84,2010-03-16
747,502455,43.01,2010-03-16
748,686,38.22,2010-03-05
749,686,26.21,2010-03-16
749,1642,34.92,2010-03-16
750,686,28.63,2010-03-05
751,686,20.76,2010-03-16
751,502455,27.66,2010-03-16
751,1644,72.51,2010-03-16
754,686,327.70001,2010-03-04
755,686,225.17,2010-03-15
755,502455,48.75,2010-03-15
756,686,293.54999,2010-02-03
757,686,207.48,2010-03-15
757,1643,71.44,2010-03-15
757,502455,44.46,2010-03-15
760,686,202.00999,2010-03-04
761,686,138.39,2010-03-17
761,502455,50.86,2010-03-17
762,686,116.81,2010-03-04
763,686,86.78,2010-03-15
763,502455,46.11,2010-03-17
764,686,183.14999,2010-02-03
765,686,127.96,2010-03-17
765,1643,69.86,2010-03-17
765,502455,46.63,2010-03-17
766,686,102.61,2010-02-03
767,686,79.52,2010-03-17
767,1643,72.09,2010-03-17
767,502455,39.85,2010-03-17
770,686,166.89999,2010-03-04
771,686,115.25,2010-03-17
771,502455,53.82,2010-03-17
772,686,107.93,2010-03-04
773,686,73.58,2010-03-17
773,1642,50.09,2010-03-17
774,686,35.11,2010-03-04
775,686,23.14,2010-03-17
775,1642,36.42,2010-03-17
778,686,298.29999,2010-03-16
779,1642,54.96,2010-03-16
779,686,234.44,2010-03-16
780,686,273.41,2010-03-16
781,686,212.48,2010-03-16
781,682,74.074,2006-11-01
781,1642,45.28,2010-03-16
781,1644,76.33,2010-03-16
784,686,1.8583,2010-03-16
785,683,58.69,2010-03-16
785,686,146.55,2010-03-16
786,686,112.46,2010-03-16
787,683,47.56,2010-03-16
787,686,87.89,2010-03-16
788,686,170.23,2010-03-16
789,922,48.44,2010-03-16
789,686,132.19,2010-03-16
789,1644,77.69,2010-03-16
790,686,103.19,2010-03-16
791,922,40.17,2010-03-16
791,686,80.29,2010-03-16
791,1644,73.68,2010-03-16
794,686,153.2,2010-03-16
795,681,62.22,2010-03-15
795,686,121.45,2010-03-15
796,686,1.0398,2010-03-16
797,683,50.26,2010-03-16
797,686,72.31,2010-03-16
798,686,32.63,2010-03-16
799,683,41.48,2010-03-16
799,686,25.09,2001-05-18
816,683,73.2143,2008-02-19
817,686,269.84125,2003-12-15
818,686,208.78999,1998-08-04
818,1642,52.91,2006-11-01
819,686,219.78,1998-08-04
820,686,98.9,1998-08-04
820,1644,49.383,2006-11-01
821,686,151.01401,1997-05-01
821,1644,74.074,2006-11-01
822,686,51.80776,2003-12-15
823,686,37.47795,2003-12-15
824,686,48.50088,2003-12-15
832,686,65.0,2014-09-25
833,686,35.24,2014-09-25
833,1642,31.746,2006-11-01
834,686,39.65,2014-09-25
834,1642,35.273,2006-11-01
835,686,34.1,2014-09-26
836,686,26.43,2014-09-26
836,1643,24.691,2006-11-01
837,686,28.63,2014-09-26
837,1643,28.219,2006-11-01
838,686,95.8,2014-09-22
839,686,63.8,2014-09-22
839,682,67.019,2006-10-31
840,686,72.68,2014-09-24
840,682,67.02,2006-11-01
842,686,57.26,2014-09-22
842,1644,67.019,2006-11-01
843,686,62.78,2014-09-22
843,1644,74.074,2006-11-01
845,686,116.0,2014-09-23
845,1642,45.855,2006-11-01
846,686,37.0,2014-09-23
846,1642,52.91,2006-11-01
848,1643,45.855,2006-11-01
849,686,32.61,1997-05-01
849,1643,49.383,2006-11-01
851,682,70.547,2006-10-31
852,686,45.15,2014-09-24
852,682,77.601,2006-11-01
854,1644,67.019,2006-11-01
855,686,36.35,2014-09-24
855,1644,74.074,2006-11-01
923,985,132.61,2004-08-12
924,985,137.81,2015-03-17
928,985,132.61,2004-08-11
929,985,130.214,2014-12-01
930,985,132.998,2015-03-20
931,985,133.625,2014-12-01
933,985,136.47501,2015-03-20
934,985,132.61,2004-08-12
936,985,134.439,2015-03-20
938,985,136.3,2014-12-02
940,985,129.97,2004-08-12
944,985,132.114,2014-12-01
947,985,129.97,2004-08-12
948,985,132.61,2004-08-12
949,985,130.53999,2016-05-11
950,985,129.97,2004-08-12
951,985,132.61,2004-08-12
953,985,132.61,2004-08-12
954,985,129.97,2004-08-12
957,985,135.78,2004-08-12
964,985,136.254,2014-12-02
965,455,6.002,2004-08-12
965,985,15.004,2004-08-12
966,455,11.834,2004-08-11
966,985,29.586,2004-08-11
967,985,8.45,2004-08-12
968,455,2.029,2004-08-11
968,985,5.072,2004-08-11
969,455,6.017,2004-08-12
969,985,15.004,2004-08-12
970,455,8.03,2004-08-12
970,985,20.076,2004-08-12
971,455,7.185,2004-08-12
971,985,17.963,2004-08-12
972,455,3.381,2004-08-12
972,985,8.453,2004-08-12
973,455,2.705,2004-08-12
973,985,6.762,2004-08-12
974,455,10.144,2004-08-12
974,985,25.359,2004-08-12
975,455,6.762,2004-08-12
975,985,16.906,2004-08-12
976,455,5.917,2004-08-12
976,985,14.793,2004-08-12
980,455,7.185,2004-08-12
980,985,17.963,2004-08-12
981,455,7.185,2004-08-11
981,985,17.963,2004-08-11
982,985,17.33,2004-08-12
983,455,7.185,2004-08-12
983,985,17.963,2004-08-12
984,985,36.35,2004-08-11
985,455,9.721,2004-08-12
985,985,24.303,2004-08-12
986,455,8.03,2004-08-11
986,985,20.076,2004-08-11
987,455,7.182,2004-08-12
987,985,17.963,2004-08-12
988,455,10.144,2004-08-12
988,985,25.359,2004-08-12
994,455,23.669,2004-08-12
994,985,59.172,2004-08-12
994,921,29.38,2004-08-12
1000,455,4.015,2004-08-12
1000,1390,2.1,2004-08-12
1002,455,9.256,2004-08-12
1002,1390,5.55,2004-08-12
1004,455,9.763,2004-08-12
1004,1390,5.86,2004-08-12
1006,455,8.8762,2008-03-10
1006,1390,5.4,2004-08-12
1007,455,10.144,2004-08-12
1007,1390,6.09,2004-08-12
1008,455,9.003,2004-08-12
1008,1390,5.4,2004-08-12
1010,455,10.482,2004-08-12
1010,1390,6.29,2004-08-12
1011,455,10.482,2004-08-12
1011,1390,6.29,2004-08-12
1012,985,15.64,2004-08-12
1116,985,138.95,2004-08-12
1118,985,142.12,2004-08-12
1119,985,132.61,2004-08-12
1120,455,3.998,2004-08-12
1120,985,9.996,2004-08-12
1121,985,138.70599,2014-12-02
1175,681,84.0,2014-11-03
1182,683,0.84,2014-11-03
1199,683,86.0,2014-07-22
1224,1582,44.0,2004-08-12
1228,1582,40.0,2004-08-11
1397,1582,44.0,2004-08-12
1399,1582,44.0,2004-08-12
1401,1582,47.0,2004-08-12
1403,1582,45.0,2004-08-12
1413,1582,28.0,2009-05-22
1415,1582,33.0,2009-05-22
1419,1582,42.0,2009-05-22
1421,1582,43.0,2009-05-22
1423,1582,43.0,2009-05-22
1431,1582,23.0,2004-08-12
1435,1582,33.0,2009-05-22
1437,1582,30.0,2009-05-22
1439,1582,30.0,2009-05-22
1443,1582,25.0,2004-08-12
1462,1582,27.0,2004-08-12
1464,1582,30.0,2009-05-22
1466,1582,35.0,2007-09-28
1470,1582,35.0,2007-09-28
1496,921,37.165,2004-08-12
1496,985,74.33,2004-08-12
1571,921,36.46,2004-08-12
1571,985,72.92,2004-08-12
1572,460,196.0,2015-10-09
1589,1044,47.0,2003-04-29
1589,1045,5.9,2003-04-29
1594,1044,38.0,2003-04-29
1594,1045,5.0,2003-04-29
1619,461,86.0,2013-12-20
1658,921,38.045,2004-08-12
1658,985,76.09,2004-08-12
1691,1045,128.0,2015-07-20
1719,921,38.045,2004-08-12
1719,985,76.09,2004-08-12
1724,921,37.511,2004-08-12
1724,985,75.022,2004-08-12
1753,921,37.165,2004-08-12
1753,985,74.33,2004-08-12
1762,683,67.0194,2003-12-16
1764,683,45.946,1997-05-01
1766,683,55.555,1997-05-01
1768,683,49.708,1997-05-01
1770,683,53.125,1997-05-01
1772,683,43.59,1997-05-01
1774,683,58.278,1997-05-01
1775,683,56.291,1997-05-01
1776,683,58.94,1997-05-01
1778,683,52.98,1997-05-01
1779,683,52.179,1997-05-01
1780,683,53.642,1997-05-01
1782,683,54.967,1997-05-01
1783,683,54.305,1997-05-01
1784,683,55.556,1997-05-01
1786,683,49.007,1997-05-01
1787,683,49.007,1997-05-01
1788,683,50.926,1997-05-01
1790,683,49.669,1997-05-01
1791,683,49.007,1997-05-01
1792,683,49.383,1997-05-01
1794,683,44.371,1997-05-01
1795,683,44.371,1997-05-01
1796,683,45.414,1997-05-01
1798,683,52.98,1997-05-01
1799,683,49.669,1997-05-01
1800,683,50.926,1997-05-01
1802,683,47.682,1997-05-01
1803,683,44.371,1997-05-01
1804,683,45.855,1997-05-01
1808,683,67.24,1997-05-01
1812,683,61.949,1997-05-01
1814,683,56.291,1997-05-01
1816,683,47.222,1997-05-01
1818,683,55.556,1997-05-01
1819,683,54.14,1997-05-01
1821,683,43.651,1997-05-01
1822,683,42.108,1997-05-01
1823,683,76.0,1997-05-01
1824,683,46.667,1997-05-01
1825,683,56.333,1997-05-01
1826,683,57.709,2003-05-16
1827,683,66.0,1997-05-01
1828,683,40.667,1997-05-01
1829,683,49.0,1997-05-01
1830,683,52.469,1997-05-01
1833,683,84.215,1997-05-01
1835,683,37.698,1997-05-01
1837,683,93.034,1997-05-01
1842,683,56.667,1997-05-01
1845,683,78.042,1997-05-01
1847,683,66.138,1997-05-01
1850,683,54.012,1997-05-01
1852,683,65.917,1997-05-01
1855,683,50.928,1997-05-01
1861,681,85.0,1997-05-01
1865,681,83.333,1997-05-01
1869,675,59.5,1997-05-01
1869,683,91.049,1997-05-01
1876,681,62.5,1997-05-01
1877,681,55.556,1997-05-01
1878,681,41.063,1997-05-01
1881,683,60.626,1997-05-01
1882,683,45.595,1997-05-01
1883,683,42.384,1997-05-01
1884,683,51.656,1997-05-01
1885,683,48.344,1997-05-01
1888,681,85.859,1997-05-01
1894,683,40.22,2006-08-29
1896,683,71.681,1997-05-01
1897,683,70.796,1997-05-01
1898,683,66.372,1997-05-01
1899,683,69.885,1997-05-01
1901,683,63.717,1997-05-01
1902,683,62.832,1997-05-01
1903,683,58.407,1997-05-01
1904,683,62.39,1997-05-01
1906,683,51.808,1997-05-01
1907,683,53.131,1997-05-01
1909,683,43.651,1997-05-01
1910,683,42.549,1997-05-01
1912,683,72.566,1997-05-01
1913,683,65.487,1997-05-01
1914,683,69.444,1997-05-01
1916,683,70.796,1997-05-01
1917,683,62.832,1997-05-01
1918,683,67.901,1997-05-01
1932,683,77.41,2006-07-21
1934,683,47.39,2006-08-29
1938,683,88.542,1997-05-01
1941,681,92.892,1997-05-01
1944,683,78.65,2006-07-21
1961,683,67.257,1997-05-01
1962,683,64.602,1997-05-01
1964,683,72.01,2006-06-28
1966,683,69.14,2006-06-28
1968,683,78.24,2006-06-29
1970,683,68.61,2006-06-30
1971,683,69.33,1997-05-01
1972,683,86.97,2006-08-28
1974,683,69.2,2006-08-28
2068,458,0.77,2023-05-26
2071,458,0.63,2023-05-26
2173,921,12.0,2004-08-12
2173,1584,12.72,2010-08-16
2175,921,19.32,2004-08-12
2175,1584,20.47,2010-08-16
2177,921,28.0,2004-08-12
2177,1584,29.68,2010-08-16
2393,458,1.25,2023-05-26
2426,921,23.77,2004-08-13
2426,1584,23.77,2004-08-13
2428,921,28.0,2004-08-13
2428,1584,28.0,2004-08-13
2429,645,822.0,1997-05-01
2429,921,24.56,2010-08-16
2566,457,2.06,1997-05-01
2590,1327,29.586,2003-08-07
2651,683,77.586,1997-05-01
2652,683,86.538,1997-05-01
2654,683,56.604,1997-05-01
2655,683,43.478,1997-05-01
2656,683,74.074,1997-05-01
2657,683,65.035,1997-05-01
2659,683,67.164,1997-05-01
2662,683,48.913,1997-05-01
2664,683,67.669,1997-05-01
2667,683,84.112,1997-05-01
2669,683,56.962,1997-05-01
2685,683,59.211,1997-05-01
2687,683,65.12,2001-03-19
2689,683,65.217,1997-05-01
2692,683,58.065,1997-05-01
2694,683,65.12,2001-03-19
2696,683,61.08,2001-03-01
2698,683,55.901,1997-05-01
2700,683,60.26,2001-03-19
2702,683,55.73,2001-03-19
2704,683,69.231,1997-05-01
2712,683,69.224,1997-05-01
2713,683,58.201,1997-05-01
2790,681,70.313,1997-05-01
2841,1588,16.7,2004-08-17
2866,1591,27.8,2004-08-17
2869,1591,25.4,2004-08-17
2874,1591,1.8,2004-08-17
2876,1591,1.8,2004-08-17
2878,1591,1.8,2004-08-17
2880,1591,13.0,2008-06-24
2881,1591,13.0,2008-06-24
2882,1591,13.0,2008-06-24
2883,1591,2.59,2004-08-18
2888,921,37.253,2004-08-12
2888,985,74.4,2004-08-18
2892,921,38.556,2004-08-12
2892,985,76.9,2004-08-18
2894,985,76.9,2004-08-18
2896,985,22.19,2011-05-05
2898,985,22.19,2004-08-18
2900,985,22.19,2011-05-05
2902,985,22.19,2004-08-18
2907,985,33.83,2004-08-18
2910,1591,0.52,2004-08-18
2912,1591,1.04,2004-08-18
2914,1591,16.83,2004-08-18
2921,921,37.253,2004-08-12
2921,985,73.6,2004-08-18
2939,921,38.486,2004-08-12
2939,985,76.9,2004-08-18
2953,1591,13.5,2004-08-18
2957,985,26.37,2004-08-18
2962,985,1.56,2004-08-18
2964,985,30.74,2004-08-18
2973,921,37.341,2004-08-12
2973,985,74.61,2004-08-18
2975,921,38.31,2004-08-12
2975,985,76.6,2004-08-18
2979,985,34.78,2016-01-13
2980,985,26.37,2004-08-18
2982,985,28.75,2004-08-18
2992,684,77.985,1997-05-01
2994,684,54.717,2002-08-06
3001,684,90.805,2002-08-06
3005,684,77.941,1997-05-01
3007,684,77.914,1997-05-01
3010,684,77.992,1997-05-01
3012,684,77.941,1997-05-01
3015,684,77.17,1997-05-01
3022,684,78.571,1997-05-01
3027,684,78.075,1997-05-01
3030,684,78.151,1997-05-01
3032,684,78.125,1997-05-01
3035,684,76.667,1997-05-01
3037,684,78.283,1997-05-01
3040,684,77.922,1997-05-01
3042,684,78.571,1997-05-01
3044,684,78.01,1997-05-01
3053,684,78.283,1997-05-01
3057,684,78.295,1997-05-01
3063,684,78.151,1997-05-01
3067,684,77.982,1997-05-01
3076,683,77.941,1997-05-01
3078,684,77.72,1997-05-01
3080,682,81.13,2018-11-15
3090,684,78.261,1997-05-01
3094,671,134.0,2004-01-12
3103,642,2.963,1997-05-01
3109,502522,68.0,2014-02-10
3120,683,47.727,1997-05-01
3134,684,78.481,1997-05-01
3135,684,77.987,1997-05-01
3136,684,78.0,1997-05-01
3137,684,77.586,1997-05-01
3138,684,78.125,1997-05-01
3139,684,92.594,1997-05-01
3140,684,77.869,1997-05-01
3141,684,77.941,1997-05-01
3142,684,77.778,1997-05-01
3143,684,77.941,1997-05-01
3144,684,78.261,1997-05-01
3145,684,78.238,1997-05-01
3146,684,78.238,1997-05-01
3147,684,77.778,1997-05-01
3148,684,78.222,1997-05-01
3151,684,77.987,1997-05-01
3152,684,78.238,1997-05-01
3153,684,77.841,1997-05-01
3155,684,78.238,1997-05-01
3156,684,77.778,1997-05-01
3157,684,77.778,1997-05-01
3158,684,77.778,1997-05-01
3159,684,77.987,1997-05-01
3160,684,78.125,1997-05-01
3161,684,78.151,1997-05-01
3162,684,78.261,1997-05-01
3163,684,78.125,1997-05-01
3164,684,77.987,1997-05-01
3165,684,77.083,1997-05-01
3166,684,81.13,2018-11-15
3167,682,81.13,2018-11-15
3168,684,77.941,1997-05-01
3169,684,77.778,1997-05-01
3170,684,77.778,1997-05-01
3171,684,78.075,2002-08-06
3172,670,130.658,1997-05-01
3179,684,89.937,1997-05-01
3181,684,89.937,1997-05-01
3183,684,89.899,1997-05-01
3185,684,89.937,1997-05-01
3187,684,78.263,1997-05-01
3193,684,89.899,1997-05-01
3195,684,77.922,1997-05-01
3199,684,77.72,1997-05-01
3206,684,89.937,1997-05-01
3215,684,78.481,1997-05-01
3220,684,78.283,1997-05-01
3227,684,78.973,1997-05-01
3228,684,78.87,1997-05-01
3243,921,41.9,2004-08-12
3252,921,33.7,2004-08-12
3252,1591,40.0,2007-12-04
3255,921,32.25,2004-08-12
3255,1591,40.0,2007-12-04
3257,921,32.25,2004-08-12
3257,1591,40.0,2007-12-04
3259,921,32.25,2004-08-12
3259,1591,40.0,2007-12-04
3267,921,33.16,2004-08-12
3267,1591,40.0,2007-12-04
3269,921,30.8,2004-08-12
3269,1591,40.0,2007-12-04
3272,921,31.15,2004-08-12
3272,1591,40.0,2007-12-04
3274,921,32.25,2004-08-12
3274,1591,40.0,2007-12-04
3280,921,20.08,2004-08-12
3280,1591,40.0,2007-12-04
3282,921,20.08,2004-08-12
3282,1591,40.0,2007-12-04
3286,921,35.34,2004-08-12
3286,1591,40.0,2007-12-04
3288,921,38.46,2004-08-12
3288,1591,40.0,2007-12-04
3291,921,32.25,2004-08-12
3291,1591,40.0,2007-12-04
3293,921,30.24,2004-08-12
3293,1591,40.0,2007-12-04
3295,921,32.25,2004-08-12
3295,1591,40.0,2007-12-04
3297,921,39.73,2004-08-12
3297,1591,40.0,2007-12-04
3300,921,37.23,2004-08-12
3300,1591,40.0,2007-12-04
3303,1327,53.888,2010-04-28
3305,1327,53.888,2010-04-28
3307,1327,53.888,2010-04-28
3312,921,30.61,2004-08-12
3312,1591,40.0,2007-12-04
3334,921,31.15,2004-08-12
3334,1591,40.0,2007-12-04
3336,921,31.33,2004-08-12
3336,1591,40.0,2007-12-04
3376,921,31.16,2004-08-12
3376,1591,40.0,2007-12-04
3380,921,32.25,2004-08-12
3380,1591,40.0,2007-12-04
3381,921,32.25,2004-08-12
3381,1591,40.0,2007-12-04
3383,921,33.16,2004-08-12
3383,1591,40.0,2007-12-04
3385,921,32.61,2004-08-12
3385,1591,40.0,2007-12-04
3387,921,30.97,2004-08-12
3387,1591,40.0,2007-12-04
3389,921,28.88,2004-08-12
3389,1591,40.0,2007-12-04
3392,921,37.01,2010-02-12
3392,1591,51.81,2010-02-12
3394,921,34.52,2004-08-12
3394,1591,40.0,2007-12-04
3396,1327,53.888,2010-04-28
3400,921,29.31,2004-08-12
3400,1591,40.0,2007-12-04
3423,683,41.226,1997-05-01
3425,683,63.051,1997-05-01
3429,683,28.219,1997-05-01
3433,683,48.06,1997-05-01
3445,683,54.167,1997-05-01
3446,683,38.333,1997-05-01
3452,683,32.407,1997-05-01
3460,683,44.533,1997-05-01
3479,683,59.965,1997-05-01
3480,683,72.09,1997-05-01
3482,683,48.942,1997-05-01
3484,683,36.155,1997-05-01
3486,683,63.051,1997-05-01
3488,683,37.037,1997-05-01
3490,683,30.423,1997-05-01
3492,683,56.878,1997-05-01
3494,683,48.06,1997-05-01
3495,683,76.471,1997-05-01
3496,683,50.588,1997-05-01
3497,683,49.412,1997-05-01
3498,683,35.294,1997-05-01
